Table: Table_1

;Vaddö och Häfverö akeppalag ;2,244 ;15,630 ;126 ;941 ;297 ;1,720 ;42 ;205 ;II ;82 ;2,527 ;7,860 ;- ;43 ;82 ;39 ;30 ;19 ;32,350 ;- ;22 ;- ;25 ;- ;- ;--- ;- ;40 ;1,160 ;156 ;29 ;64 ;2,742 ;726 ;2,451 ;- ;582 ;26 ;3,000 ;;
45 ;Söderby-Karls socken ;1,977 ;13,830 ;26 ;195 ;264 ;1,590 ;26 ;131 ;26 ;195 ;1,985 ;6,000 ;750 ;17 ;20 ;20 ;23 ;15 ;24,020 ;;8 ;-- ;20 ;- ;-- ;- ;- ;50 ;374 ;85 ;54 ;36 ;1,049 ;215 ;925 ;2 ;93 ;25 ;2,500 ;45 ;
46 ;Estuna ;1,730 ;12,140 ;100 ;745 ;231 ;1,885 ;12 ;60 ;26 ;200 ;1,584 ;4,650 ;800 ;7 ;8 ;10 ;22 ;18 ;20,000 ;- ;8 ;- ;25 ;;;-- ;- ;30 ;358 ;61 ;74 ;35 ;868 ;179 ;832 ;;136 ;38 ;1.800 ;46 ;
47 ;Lohärads ;876 ;5,830 ;52 ;390 ;136 ;810 ;13 ;65 ;10 ;72 ;919 ;2,750 ;- ;10 ;1ã ;11 ;7 ;2 ;9,060 ;;;- ;8 ;;;- ;;;219 ;60 ;42 ;14 ;557 ;140 ;510 ;1 ;76 ;24 ;1.200 ;47 ;
48 ;Malata ;377 ;2,640 ;18 ;135 ;56 ;330 ;7 ;34 ;18 ;135 ;372 ;1.120 ;;2 ;3 ;3 ;;3 ;1,910 ;- ;2 ;;5 ;;;- ;;10 ;83 ;15 ;12 ;5 ;201 ;33 ;203 ;;30 ;15 ;300 ;!48 ;
49 ;Husby-lyhundra ;885 ;6,205 ;48 ;360 ;175 ;1,070 ;24 ;115 ;8 ;63 ;1,059 ;3,200 ;- ;10 ;14 ;15 ;8 ;3 ;4,870 ;- ;5 ;- ;7 ;- ;- ;- ;-- ;20 ;290 ;58 ;30 ;30 ;536 ;162 ;438 ;;50 ;40 ;1,200 ;49 ;
;Lyhundra härad ;5,845 ;40,645 ;244 ;1,825 ;862 ;5,183 ;82 ;403 ;88 ;665 ;5,919 ;17,720 ;1,550 ;46 ;60 ;59 ;64 ;41 ;59,860 ;- ;27 ;-- ;65 ;- ;- I ;- ;- ;11 110 ;1,324 ;274 ;212 ;120 ;3,211 ;729 ;2,908 ;3 ;385 ;137 ;7,000 ;;





