Table: Table_1

;1. ;36. ;37. ;38. ;39. ;4'0. ;44. ;45. ;46. ;47. ;48. ;49. ;50 ;51 ;52. ;53. ;54. ;55. ;57. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;;
52 53 ;Sandbäck eller Kyrk&s ;1 ;;- - ;925 ;;;10 ;2,625 ;48 ;40 ;6,608 ;40 ;;2 ;;- ;3,015 ;;20 ;5 ;- ;3,800 ;30 ;5 ;8 ;3 ;100 ;33 ;85 ;- - ;25 ;;
54 ;Skarstad ;- ;1,127 ;- ;770 ;16 ;975 ;- ;7,500 ;- ;3,150 ;60,825 ;2,175 ;675 ;- ;4,508 ;- ;2,310 ;p ;15 ;- ;- ;25.125 ;226 ;65 ;12 ;9 ;455 ;177 ;390 ;- ;96 ;;
55 ;Vara ;;200 ;- ;1,000 ;;1,750 ;;8,400 ;- ;600 ;48,000 ;1,000 ;600 ;- ;900 ;- ;6,000 ;- ;;- ;;;165 ;25 ;4 ;4 ;400 ;43 ;172 ;- ;86 ;;
56 ;Asaka ;3 ;25 ;;2,000 ;70 ;30 ;24 ;4,050 ;75 ;240 ;19,500 ;800 ;115 ;18 ;125 ;9 ;16,000 ;;20 ;- ;40 ;3,850 ;125 ;35 ;8 ;25 ;325 ;200 ;275 ;- ;100 ;;
57 ;Onum ;;160 ;10 ;1,650 ;5 ;1,800 ;- ;12,500 ;- ;725 ;54,000 ;315 ;400 ;- ;800 ;35 ;10,000 ;500 ;12 ;5 ;- ;14,500 ;160 ;50 ;1 ;8 ;425 ;150 ;220 ;- ;75 ;;
;Summa för Barne härad ;24 ;2,932 ;15 ;30,245 ;291 ;12,166 ;408 ;109,264 ;940 ;9,876 ;505,562 ;7,350 ;4,138 ;70 ;10,788 ;54 ;162,773 ;10,600 ;625 ;95 ;3,540 ;144,075 ;2,104 ;589 ;205 ;117 ;5,704 ;1,730 ;3,284 ;- ;1,444 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;78 ;;296 ;4 ;456 ;;3,864 ;- ;216 ;21,270 ;- ;125 ;- ;156 ;- ;1,840 ;3,000 ;16 ;;- ;8,720 ;42 ;8 ;2G ;3 ;148 ;32 ;64 ;;;;
58 ;Broby ;- ;;- ;;;;;;;;;;;;;;;;;- ;;;;;;;;;;- ;46 ;;
59 ;Hangelösa ;;120 ;- ;2,250 ;10 ;1,800 ;X 75 ;8,500 ;X 80 ;1,000 ;50,000 ;275 ;200 ;- ;240 ;- ;11,250 ;;20 ;;;5,000 ;256 ;38 ;49 ;10 ;1,000 ;150 ;260 ;- - ;128 ;;
60 ;Hasslösa ;- ;198 ;- ;1,045 ;18 ;1.250 ;;5,480 ;;850 ;61,669 ;- ;200 ;- ;300 ;;5,000 ;2,000 ;- ;20 ;- ;10,000 ;130 ;10 ;80 ;5 ;300 ;50 ;100 ;- - ;50 ;;
61 ;Hofby ;- ;400 ;- ;1,550 ;;1,800 ;50 ;4,500 ;- ;1,000 ;35,000 ;- ;1,200 ;- ;2,000 ;;10,000 ;10,000 ;- ;- ;- ;8,000 ;90 ;20 ;20 ;G ;300 ;50 ;100 ;- ;60 ;;
62 ;Husaby ;- ;130 ;- ;4,000 ;? ;480 ;200 ;8,400 ;;3,500 ;22,500 ;1,000 ;200 ;- ;grönfoder ;;16,000 ;? ;P ;- ;- ;P ;220 ;95 ;130 ;8 ;450 ;200 ;400 ;- ;;100 1 62 ;





