Table: Table_1

;1. ;40. ;41. ;42. ;43. ;44. ;45. Il ;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56 ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73 ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81 I ;82. ;83. 11. ;
46 ;Västerhaninge ;505 ;3,787 ;190 ;1,330 ;3 ;17 ;49 ;345 ;2,449 ;9.799 ;17,555 ;- ;- ;- ;141 ;97 ;25,278 ;- ;7 ;- ;7 ;4 ;0.9 ;218 ;346 ;42 ;144 ;54 ;1,374 ;367 ;378 ;- ;339 ;32 ;1.924 ;
47 ;Muskö ;60 ;451 ;52 ;369 ;2 ;8 ;7 ;51 ;462 ;1.851 ;2,602 ;- ;- ;- ;21 ;17 ;4.334 ;- ;;- ;;;- ;12 ;43 ;6 ;62 ;10 ;270 ;101 ;302 ;- ;89 ;50 ;1,096 ;
48 ;Ösmo ;208 ;1,563 ;207 ;1.447 ;3 ;15 ;49 ;343 ;2,797 ;11,180 ;14,958 ;;;;155 ;121 ;28,270 ;- ;5 ;- ;10 ;41 ;8 ;303 ;396 ;44 ;239 ;58 ;1.732 ;556 ;738 ;- ;469 ;27 ;3.260 ;
49 ;Sorunda ;457 ;3,430 ;322 ;2,254 ;8 ;42 ;97 ;684 ;4,098 ;16,392 ;43,549 ;X 4 ;10 ;X 6 ;219 ;170 ;39,557 ;- ;2 ;- ;4 ;24 ;7 ;200 ;515 ;76 ;396 ;99 ;2,363 ;664 ;709 ;- ;603 ;49 ;3,285 49 ;
50 ;Torö ;47 ;353 ;17 ;119 ;1 ;5 ;3 ;23 ;209 ;887 ;650 ;- ;- ;- ;11 ;2 ;3,304 ;;;- ;;- ;0:4 ;10 ;34 ;5 ;25 ;7 ;198 ;51 ;154 ;- ;66 ;;595 50 ;
;Sotholms hürad ;1,600 ;12,017 ;1,103 ;7,730 ;19 ;97 ;271 ;1,909 ;14,012 ;56,059 ;100,772 ;X 4 ;10 ;6 ;755 ;525 ;189,882 ;- ;21 ;- ;50 ;X ;16:9 ;1,106 ;2,015 ;232 ;1,141 ;321 ;8,532 ;2.357 ;8,430 ;5 ;2,227 ;210 ;14.475 ;





